Year,AuthorGender,n_authors,Group,total_authors,percent
1990,Female,9,All authors,119,0.07563025210084033
1990,Male,104,All authors,119,0.8739495798319328
1990,Unknown,6,All authors,119,0.05042016806722689
1991,Female,7,All authors,124,0.056451612903225805
1991,Male,108,All authors,124,0.8709677419354839
1991,Unknown,9,All authors,124,0.07258064516129033
1992,Female,17,All authors,125,0.136
1992,Male,106,All authors,125,0.848
1992,Unknown,2,All authors,125,0.016
1993,Female,14,All authors,121,0.11570247933884298
1993,Male,102,All authors,121,0.8429752066115702
1993,Unknown,5,All authors,121,0.04132231404958678
1994,Female,11,All authors,129,0.08527131782945736
1994,Male,114,All authors,129,0.8837209302325582
1994,Unknown,4,All authors,129,0.031007751937984496
1995,Female,21,All authors,178,0.11797752808988764
1995,Male,156,All authors,178,0.8764044943820225
1995,Unknown,1,All authors,178,0.0056179775280898875
1996,Female,36,All authors,225,0.16
1996,Male,189,All authors,225,0.84
1997,Female,28,All authors,222,0.12612612612612611
1997,Male,192,All authors,222,0.8648648648648649
1997,Unknown,2,All authors,222,0.009009009009009009
1998,Female,30,All authors,230,0.13043478260869565
1998,Male,200,All authors,230,0.8695652173913043
1999,Female,23,All authors,235,0.09787234042553192
1999,Male,212,All authors,235,0.902127659574468
2000,Female,40,All authors,268,0.14925373134328357
2000,Male,226,All authors,268,0.8432835820895522
2000,Unknown,2,All authors,268,0.007462686567164179
2001,Female,44,All authors,279,0.15770609318996415
2001,Male,234,All authors,279,0.8387096774193549
2001,Unknown,1,All authors,279,0.0035842293906810036
2002,Female,35,All authors,268,0.13059701492537312
2002,Male,232,All authors,268,0.8656716417910447
2002,Unknown,1,All authors,268,0.0037313432835820895
2003,Female,33,All authors,285,0.11578947368421053
2003,Male,251,All authors,285,0.8807017543859649
2003,Unknown,1,All authors,285,0.0035087719298245615
2004,Female,38,All authors,285,0.13333333333333333
2004,Male,246,All authors,285,0.8631578947368421
2004,Unknown,1,All authors,285,0.0035087719298245615
2005,Female,55,All authors,382,0.14397905759162305
2005,Male,325,All authors,382,0.8507853403141361
2005,Unknown,2,All authors,382,0.005235602094240838
2006,Female,39,All authors,338,0.11538461538461539
2006,Male,297,All authors,338,0.878698224852071
2006,Unknown,2,All authors,338,0.005917159763313609
2007,Female,58,All authors,339,0.1710914454277286
2007,Male,275,All authors,339,0.8112094395280236
2007,Unknown,6,All authors,339,0.017699115044247787
2008,Female,58,All authors,339,0.1710914454277286
2008,Male,278,All authors,339,0.8200589970501475
2008,Unknown,3,All authors,339,0.008849557522123894
2009,Female,64,All authors,376,0.1702127659574468
2009,Male,307,All authors,376,0.8164893617021277
2009,Unknown,5,All authors,376,0.013297872340425532
2010,Female,69,All authors,364,0.18956043956043955
2010,Male,289,All authors,364,0.7939560439560439
2010,Unknown,6,All authors,364,0.016483516483516484
2011,Female,71,All authors,401,0.1770573566084788
2011,Male,328,All authors,401,0.8179551122194514
2011,Unknown,2,All authors,401,0.004987531172069825
2012,Female,82,All authors,426,0.19248826291079812
2012,Male,344,All authors,426,0.8075117370892019
2013,Female,66,All authors,347,0.19020172910662825
2013,Male,275,All authors,347,0.792507204610951
2013,Unknown,6,All authors,347,0.01729106628242075
2014,Female,93,All authors,502,0.1852589641434263
2014,Male,401,All authors,502,0.798804780876494
2014,Unknown,8,All authors,502,0.01593625498007968
2015,Female,103,All authors,489,0.21063394683026584
2015,Male,376,All authors,489,0.7689161554192229
2015,Unknown,10,All authors,489,0.02044989775051125
2016,Female,85,All authors,444,0.19144144144144143
2016,Male,348,All authors,444,0.7837837837837838
2016,Unknown,11,All authors,444,0.024774774774774775
2017,Female,103,All authors,452,0.22787610619469026
2017,Male,337,All authors,452,0.745575221238938
2017,Unknown,12,All authors,452,0.02654867256637168
2018,Female,107,All authors,497,0.2152917505030181
2018,Male,381,All authors,497,0.7665995975855131
2018,Unknown,9,All authors,497,0.018108651911468814
2019,Female,140,All authors,544,0.25735294117647056
2019,Male,392,All authors,544,0.7205882352941176
2019,Unknown,12,All authors,544,0.022058823529411766
2020,Female,140,All authors,650,0.2153846153846154
2020,Male,462,All authors,650,0.7107692307692308
2020,Unknown,48,All authors,650,0.07384615384615385
1990,Female,9,New authors,119,0.07563025210084033
1990,Male,104,New authors,119,0.8739495798319328
1990,Unknown,6,New authors,119,0.05042016806722689
1991,Female,7,New authors,106,0.0660377358490566
1991,Male,90,New authors,106,0.8490566037735849
1991,Unknown,9,New authors,106,0.08490566037735849
1992,Female,14,New authors,101,0.13861386138613863
1992,Male,85,New authors,101,0.8415841584158416
1992,Unknown,2,New authors,101,0.019801980198019802
1993,Female,13,New authors,99,0.13131313131313133
1993,Male,81,New authors,99,0.8181818181818182
1993,Unknown,5,New authors,99,0.050505050505050504
1994,Female,10,New authors,98,0.10204081632653061
1994,Male,84,New authors,98,0.8571428571428571
1994,Unknown,4,New authors,98,0.04081632653061224
1995,Female,16,New authors,137,0.11678832116788321
1995,Male,120,New authors,137,0.8759124087591241
1995,Unknown,1,New authors,137,0.0072992700729927005
1996,Female,25,New authors,156,0.16025641025641027
1996,Male,131,New authors,156,0.8397435897435898
1997,Female,19,New authors,152,0.125
1997,Male,131,New authors,152,0.8618421052631579
1997,Unknown,2,New authors,152,0.013157894736842105
1998,Female,22,New authors,140,0.15714285714285714
1998,Male,118,New authors,140,0.8428571428571429
1999,Female,17,New authors,146,0.11643835616438356
1999,Male,129,New authors,146,0.8835616438356164
2000,Female,30,New authors,165,0.18181818181818182
2000,Male,133,New authors,165,0.806060606060606
2000,Unknown,2,New authors,165,0.012121212121212121
2001,Female,30,New authors,173,0.17341040462427745
2001,Male,142,New authors,173,0.8208092485549133
2001,Unknown,1,New authors,173,0.005780346820809248
2002,Female,22,New authors,160,0.1375
2002,Male,137,New authors,160,0.85625
2002,Unknown,1,New authors,160,0.00625
2003,Female,23,New authors,159,0.14465408805031446
2003,Male,136,New authors,159,0.8553459119496856
2004,Female,21,New authors,147,0.14285714285714285
2004,Male,125,New authors,147,0.8503401360544217
2004,Unknown,1,New authors,147,0.006802721088435374
2005,Female,29,New authors,213,0.13615023474178403
2005,Male,182,New authors,213,0.8544600938967136
2005,Unknown,2,New authors,213,0.009389671361502348
2006,Female,23,New authors,182,0.12637362637362637
2006,Male,157,New authors,182,0.8626373626373627
2006,Unknown,2,New authors,182,0.01098901098901099
2007,Female,31,New authors,187,0.1657754010695187
2007,Male,150,New authors,187,0.8021390374331551
2007,Unknown,6,New authors,187,0.03208556149732621
2008,Female,34,New authors,168,0.20238095238095238
2008,Male,132,New authors,168,0.7857142857142857
2008,Unknown,2,New authors,168,0.011904761904761904
2009,Female,32,New authors,208,0.15384615384615385
2009,Male,172,New authors,208,0.8269230769230769
2009,Unknown,4,New authors,208,0.019230769230769232
2010,Female,36,New authors,191,0.18848167539267016
2010,Male,149,New authors,191,0.7801047120418848
2010,Unknown,6,New authors,191,0.031413612565445025
2011,Female,42,New authors,214,0.19626168224299065
2011,Male,171,New authors,214,0.7990654205607477
2011,Unknown,1,New authors,214,0.004672897196261682
2012,Female,46,New authors,229,0.20087336244541484
2012,Male,183,New authors,229,0.7991266375545851
2013,Female,38,New authors,171,0.2222222222222222
2013,Male,127,New authors,171,0.7426900584795322
2013,Unknown,6,New authors,171,0.03508771929824561
2014,Female,51,New authors,254,0.20078740157480315
2014,Male,197,New authors,254,0.7755905511811023
2014,Unknown,6,New authors,254,0.023622047244094488
2015,Female,57,New authors,239,0.2384937238493724
2015,Male,176,New authors,239,0.7364016736401674
2015,Unknown,6,New authors,239,0.02510460251046025
2016,Female,43,New authors,197,0.2182741116751269
2016,Male,144,New authors,197,0.7309644670050761
2016,Unknown,10,New authors,197,0.050761421319796954
2017,Female,62,New authors,241,0.2572614107883817
2017,Male,169,New authors,241,0.70124481327800825
2017,Unknown,10,New authors,241,0.04149377593360996
2018,Female,52,New authors,207,0.25120772946859904
2018,Male,150,New authors,207,0.7246376811594203
2018,Unknown,5,New authors,207,0.024154589371980676
2019,Female,77,New authors,288,0.2673611111111111
2019,Male,200,New authors,288,0.6944444444444444
2019,Unknown,11,New authors,288,0.03819444444444445
2020,Female,73,New authors,330,0.22121212121212122
2020,Male,213,New authors,330,0.6454545454545455
2020,Unknown,44,New authors,330,0.13333333333333333
