Year,Conference,AuthorGender,num_authors,percent
1990,Vis,Female,9,0.07563025210084033
1990,Vis,Male,104,0.8739495798319328
1990,Vis,Unknown,6,0.05042016806722689
1991,Vis,Female,7,0.056451612903225805
1991,Vis,Male,108,0.8709677419354839
1991,Vis,Unknown,9,0.07258064516129033
1992,Vis,Female,17,0.136
1992,Vis,Male,106,0.848
1992,Vis,Unknown,2,0.016
1993,Vis,Female,14,0.11570247933884298
1993,Vis,Male,102,0.8429752066115702
1993,Vis,Unknown,5,0.04132231404958678
1994,Vis,Female,11,0.08527131782945736
1994,Vis,Male,114,0.8837209302325582
1994,Vis,Unknown,4,0.031007751937984496
1995,InfoVis,Female,8,0.1509433962264151
1995,InfoVis,Male,44,0.8301886792452831
1995,InfoVis,Unknown,1,0.018867924528301886
1995,Vis,Female,13,0.1015625
1995,Vis,Male,115,0.8984375
1996,InfoVis,Female,7,0.21875
1996,InfoVis,Male,25,0.78125
1996,Vis,Female,30,0.15228426395939088
1996,Vis,Male,167,0.8477157360406091
1997,InfoVis,Female,4,0.1111111111111111
1997,InfoVis,Male,32,0.8888888888888888
1997,Vis,Female,24,0.12834224598930483
1997,Vis,Male,161,0.8609625668449198
1997,Vis,Unknown,2,0.0106951871657754
1998,InfoVis,Female,9,0.20930232558139536
1998,InfoVis,Male,34,0.7906976744186046
1998,Vis,Female,21,0.11052631578947368
1998,Vis,Male,169,0.8894736842105263
1999,InfoVis,Female,8,0.1568627450980392
1999,InfoVis,Male,43,0.8431372549019608
1999,Vis,Female,17,0.08994708994708994
1999,Vis,Male,172,0.91005291005291
2000,InfoVis,Female,14,0.25
2000,InfoVis,Male,42,0.75
2000,Vis,Female,27,0.125
2000,Vis,Male,187,0.8657407407407407
2000,Vis,Unknown,2,0.009259259259259259
2001,InfoVis,Female,15,0.2542372881355932
2001,InfoVis,Male,44,0.7457627118644068
2001,Vis,Female,29,0.13004484304932734
2001,Vis,Male,193,0.8654708520179372
2001,Vis,Unknown,1,0.004484304932735426
2002,InfoVis,Female,12,0.21818181818181817
2002,InfoVis,Male,43,0.7818181818181819
2002,Vis,Female,23,0.10697674418604651
2002,Vis,Male,191,0.8883720930232558
2002,Vis,Unknown,1,0.004651162790697674
2003,InfoVis,Female,16,0.20512820512820512
2003,InfoVis,Male,61,0.782051282051282
2003,InfoVis,Unknown,1,0.01282051282051282
2003,Vis,Female,18,0.08571428571428572
2003,Vis,Male,192,0.9142857142857143
2004,InfoVis,Female,11,0.16923076923076924
2004,InfoVis,Male,54,0.8307692307692308
2004,Vis,Female,27,0.12162162162162163
2004,Vis,Male,194,0.8738738738738738
2004,Vis,Unknown,1,0.0045045045045045045
2005,InfoVis,Female,19,0.20212765957446807
2005,InfoVis,Male,75,0.7978723404255319
2005,Vis,Female,37,0.1267123287671233
2005,Vis,Male,253,0.8664383561643836
2005,Vis,Unknown,2,0.00684931506849315
2006,InfoVis,Female,8,0.11764705882352941
2006,InfoVis,Male,59,0.8676470588235294
2006,InfoVis,Unknown,1,0.014705882352941176
2006,VAST,Female,17,0.18681318681318682
2006,VAST,Male,73,0.8021978021978022
2006,VAST,Unknown,1,0.01098901098901099
2006,Vis,Female,17,0.08947368421052632
2006,Vis,Male,173,0.9105263157894737
2007,InfoVis,Female,21,0.2625
2007,InfoVis,Male,58,0.725
2007,InfoVis,Unknown,1,0.0125
2007,VAST,Female,19,0.2111111111111111
2007,VAST,Male,70,0.7777777777777778
2007,VAST,Unknown,1,0.011111111111111112
2007,Vis,Female,20,0.11173184357541899
2007,Vis,Male,155,0.8659217877094972
2007,Vis,Unknown,4,0.0223463687150838
2008,InfoVis,Female,20,0.24096385542168675
2008,InfoVis,Male,63,0.7590361445783133
2008,VAST,Female,21,0.25609756097560976
2008,VAST,Male,61,0.7439024390243902
2008,Vis,Female,19,0.10160427807486631
2008,Vis,Male,165,0.8823529411764706
2008,Vis,Unknown,3,0.016042780748663103
2009,InfoVis,Female,24,0.21428571428571427
2009,InfoVis,Male,88,0.7857142857142857
2009,VAST,Female,27,0.2621359223300971
2009,VAST,Male,74,0.7184466019417476
2009,VAST,Unknown,2,0.019417475728155338
2009,Vis,Female,17,0.09090909090909091
2009,Vis,Male,167,0.893048128342246
2009,Vis,Unknown,3,0.016042780748663103
2010,InfoVis,Female,27,0.23478260869565218
2010,InfoVis,Male,86,0.7478260869565218
2010,InfoVis,Unknown,2,0.017391304347826087
2010,VAST,Female,30,0.3
2010,VAST,Male,68,0.68
2010,VAST,Unknown,2,0.02
2010,Vis,Female,20,0.11428571428571428
2010,Vis,Male,153,0.8742857142857143
2010,Vis,Unknown,2,0.011428571428571429
2011,InfoVis,Female,32,0.22857142857142856
2011,InfoVis,Male,106,0.7571428571428571
2011,InfoVis,Unknown,2,0.014285714285714285
2011,VAST,Female,24,0.23076923076923078
2011,VAST,Male,80,0.7692307692307693
2011,Vis,Female,18,0.10404624277456648
2011,Vis,Male,155,0.8959537572254336
2012,InfoVis,Female,46,0.2911392405063291
2012,InfoVis,Male,112,0.7088607594936709
2012,SciVis,Female,19,0.10555555555555556
2012,SciVis,Male,161,0.8944444444444445
2012,VAST,Female,22,0.19642857142857142
2012,VAST,Male,90,0.8035714285714286
2013,InfoVis,Female,35,0.2734375
2013,InfoVis,Male,90,0.703125
2013,InfoVis,Unknown,3,0.0234375
2013,SciVis,Female,15,0.12931034482758622
2013,SciVis,Male,99,0.853448275862069
2013,SciVis,Unknown,2,0.017241379310344827
2013,VAST,Female,24,0.17647058823529413
2013,VAST,Male,109,0.8014705882352942
2013,VAST,Unknown,3,0.022058823529411766
2014,InfoVis,Female,27,0.18243243243243243
2014,InfoVis,Male,120,0.8108108108108109
2014,InfoVis,Unknown,1,0.006756756756756757
2014,SciVis,Female,15,0.11194029850746269
2014,SciVis,Male,118,0.8805970149253731
2014,SciVis,Unknown,1,0.007462686567164179
2014,VAST,Female,55,0.21153846153846154
2014,VAST,Male,199,0.7653846153846153
2014,VAST,Unknown,6,0.023076923076923078
2015,InfoVis,Female,48,0.3333333333333333
2015,InfoVis,Male,95,0.6597222222222222
2015,InfoVis,Unknown,1,0.006944444444444444
2015,SciVis,Female,17,0.10303030303030303
2015,SciVis,Male,146,0.8848484848484849
2015,SciVis,Unknown,2,0.012121212121212121
2015,VAST,Female,44,0.2037037037037037
2015,VAST,Male,164,0.7592592592592593
2015,VAST,Unknown,8,0.037037037037037035
2016,InfoVis,Female,27,0.19285714285714287
2016,InfoVis,Male,113,0.8071428571428572
2016,SciVis,Female,13,0.10833333333333334
2016,SciVis,Male,107,0.8916666666666667
2016,VAST,Female,50,0.22935779816513763
2016,VAST,Male,157,0.7201834862385321
2016,VAST,Unknown,11,0.05045871559633028
2017,InfoVis,Female,34,0.2698412698412698
2017,InfoVis,Male,90,0.7142857142857143
2017,InfoVis,Unknown,2,0.015873015873015872
2017,SciVis,Female,18,0.16822429906542055
2017,SciVis,Male,87,0.8130841121495327
2017,SciVis,Unknown,2,0.018691588785046728
2017,VAST,Female,54,0.22784810126582278
2017,VAST,Male,175,0.7383966244725738
2017,VAST,Unknown,8,0.03375527426160337
2018,InfoVis,Female,46,0.27218934911242604
2018,InfoVis,Male,119,0.7041420118343196
2018,InfoVis,Unknown,4,0.023668639053254437
2018,SciVis,Female,12,0.09230769230769231
2018,SciVis,Male,117,0.9
2018,SciVis,Unknown,1,0.007692307692307693
2018,VAST,Female,49,0.22580645161290322
2018,VAST,Male,164,0.7557603686635944
2018,VAST,Unknown,4,0.018433179723502304
2019,InfoVis,Female,72,0.32727272727272727
2019,InfoVis,Male,145,0.6590909090909091
2019,InfoVis,Unknown,3,0.013636363636363636
2019,SciVis,Female,21,0.1721311475409836
2019,SciVis,Male,100,0.819672131147541
2019,SciVis,Unknown,1,0.00819672131147541
2019,VAST,Female,53,0.2190082644628099
2019,VAST,Male,180,0.743801652892562
2019,VAST,Unknown,9,0.0371900826446281
2020,InfoVis,Female,74,0.2948207171314741
2020,InfoVis,Male,159,0.6334661354581673
2020,InfoVis,Unknown,18,0.07171314741035857
2020,SciVis,Female,19,0.1357142857142857
2020,SciVis,Male,114,0.8142857142857143
2020,SciVis,Unknown,7,0.05
2020,VAST,Female,55,0.18333333333333332
2020,VAST,Male,222,0.74
2020,VAST,Unknown,23,0.07666666666666666
